sentence_num,condition_zs,level,text_preview_zs,n_runs_zs,gold_label,agreement_rate_zs,n_correct_zs,n_incorrect_zs,entropy_zs,modal_prediction_zs,modal_frequency_zs,unique_predictions_zs,consistency_category_zs,condition_ft,text_preview_ft,n_runs_ft,agreement_rate_ft,n_correct_ft,n_incorrect_ft,entropy_ft,modal_prediction_ft,modal_frequency_ft,unique_predictions_ft,consistency_category_ft,agreement_diff,entropy_diff,more_consistent
20,zero_shot,step,AKHR knockdown in Nilaparvata lugens interferes with trehalose homeostasis and v...,400,1c,0.4875,195,205,2.5221836453324,3b,0.27,8,Uncertain,fine_tuned,AKHR knockdown in Nilaparvata lugens interferes with trehalose homeostasis and v...,400,0.7575,303,97,1.889227943021123,1c,0.495,9,Moderate consistency,-0.26999999999999996,0.6329557023112771,Fine-tuned
21,zero_shot,step,AKH/AKHR signaling also regulates vitellogenesis and egg development in Locusta ...,400,1c,0.49,196,204,1.9589014956505197,1c,0.47,7,Uncertain,fine_tuned,AKH/AKHR signaling also regulates vitellogenesis and egg development in Locusta ...,400,0.6475,259,141,1.8360859342936926,1c,0.5825,10,Uncertain,-0.15749999999999997,0.12281556135682714,Fine-tuned
22,zero_shot,step,"As outlined above, the fecundity of D. citri is increased by CLas....",400,1b,0.275,110,290,2.368260118708011,1c,0.365,8,Problematic,fine_tuned,"As outlined above, the fecundity of D. citri is increased by CLas....",400,0.3775,151,249,2.227581955050272,1c,0.3875,11,Uncertain,-0.10249999999999998,0.14067816365773878,Fine-tuned
23,zero_shot,step,Whether AKH/AKHR signaling participates in this increase in fecundity due to inf...,400,2b,0.2775,111,289,2.141392063592589,3b,0.3175,6,Problematic,fine_tuned,Whether AKH/AKHR signaling participates in this increase in fecundity due to inf...,400,0.5325,213,187,2.4022051917001406,3b,0.3125,10,Uncertain,-0.25499999999999995,-0.2608131281075514,Fine-tuned
24,zero_shot,step,"Although numerous studies have been conducted on the AKH/AKHR signaling pathway,...",350,2b,0.58,203,147,2.2252920875922975,3b,0.28285714285714286,6,Uncertain,fine_tuned,"Although numerous studies have been conducted on the AKH/AKHR signaling pathway,...",350,0.5228571428571429,183,167,2.2137723698819443,1c,0.41714285714285715,10,Uncertain,0.05714285714285705,0.011519717710353206,Zero-shot
25,zero_shot,step,"MicroRNAs (miRNAs) are small, non-coding RNAs containing approximately 22 nucleo...",350,1c,0.3457142857142857,121,229,2.6135423258045125,1b,0.3057142857142857,8,Uncertain,fine_tuned,"MicroRNAs (miRNAs) are small, non-coding RNAs containing approximately 22 nucleo...",350,0.5714285714285714,200,150,2.332338663907738,1c,0.32285714285714284,10,Uncertain,-0.2257142857142857,0.28120366189677437,Fine-tuned
26,zero_shot,step,miRNAs play important roles in regulating cellular events at the post-transcript...,300,1b,0.30666666666666664,92,208,2.2544991112869486,3a,0.32666666666666666,8,Uncertain,fine_tuned,miRNAs play important roles in regulating cellular events at the post-transcript...,300,0.49666666666666665,149,151,2.2976423991448973,3b,0.36,8,Uncertain,-0.19,-0.04314328785794874,Fine-tuned
27,zero_shot,step,"For example, in term of host-virus interactions, miR-8 and miR-429 target Broad ...",250,1c,0.668,167,83,2.0435447077489153,3b,0.372,5,Uncertain,fine_tuned,"For example, in term of host-virus interactions, miR-8 and miR-429 target Broad ...",250,0.736,184,66,1.9568528885070895,3b,0.46,5,Moderate consistency,-0.06799999999999995,0.08669181924182578,Fine-tuned
28,zero_shot,step,"In relation to reproduction, in Aedes aegypti, miR-275 is essential for egg deve...",250,1c,0.792,198,52,1.9766556874321815,1c,0.392,5,Moderate consistency,fine_tuned,"In relation to reproduction, in Aedes aegypti, miR-275 is essential for egg deve...",250,0.648,162,88,1.7435758001127402,1c,0.38,7,Uncertain,0.14400000000000002,0.2330798873194413,Zero-shot
29,zero_shot,step,"As for lipid metabolism, knockdown of miR-277 in A. aegypti activates insulin/FO...",250,1c,0.548,137,113,2.4004734272940245,3a,0.276,6,Uncertain,fine_tuned,"As for lipid metabolism, knockdown of miR-277 in A. aegypti activates insulin/FO...",250,0.592,148,102,2.0709107742960495,3b,0.308,6,Uncertain,-0.04399999999999993,0.32956265299797494,Fine-tuned
30,zero_shot,step,"Nevertheless, the functions of the miRNAs in insect-pathogen interactions need f...",200,2b,0.26,52,148,1.9951959183668828,3b,0.43,8,Problematic,fine_tuned,"Nevertheless, the functions of the miRNAs in insect-pathogen interactions need f...",200,0.405,81,119,2.293922166400678,3b,0.285,9,Uncertain,-0.14500000000000002,-0.2987262480337951,Fine-tuned
31,zero_shot,step,"To date, there are no reports that miRNAs participate in D. citri-CLas interacti...",200,2b,0.675,135,65,1.9465323847093903,3c,0.42,7,Uncertain,fine_tuned,"To date, there are no reports that miRNAs participate in D. citri-CLas interacti...",200,0.535,107,93,2.239911574314794,2b,0.345,9,Uncertain,0.14,-0.2933791896054039,Zero-shot
32,zero_shot,step,"As a consequence, in this study, we used the D. citri-CLas system as a model to ...",150,3b,0.3333333333333333,50,100,1.358697539110439,3a,0.5333333333333333,3,Uncertain,fine_tuned,"As a consequence, in this study, we used the D. citri-CLas system as a model to ...",150,0.21333333333333335,32,118,1.6206314616238233,3b,0.46,5,Problematic,0.11999999999999997,-0.2619339225133843,Zero-shot
33,zero_shot,step,Our study contributes to our understanding of the interactions between vectors a...,100,3a,0.92,92,8,0.9895875212220555,3a,0.56,2,High consistency,fine_tuned,Our study contributes to our understanding of the interactions between vectors a...,100,0.57,57,43,1.1091107110521705,3b,0.72,3,Uncertain,0.3500000000000001,-0.119523189830115,Zero-shot
34,zero_shot,step,Our data provide information on how population-level processes and variation in ...,50,3b,0.18,9,41,0.9106559588025546,3c,0.78,3,Problematic,fine_tuned,Our data provide information on how population-level processes and variation in ...,50,0.56,28,22,1.1829661954675215,3b,0.56,3,Uncertain,-0.38000000000000006,-0.2723102366649669,Fine-tuned
