sentence_num,condition_zs,level,text_preview_zs,n_runs_zs,gold_label,agreement_rate_zs,n_correct_zs,n_incorrect_zs,entropy_zs,modal_prediction_zs,modal_frequency_zs,unique_predictions_zs,consistency_category_zs,condition_ft,text_preview_ft,n_runs_ft,agreement_rate_ft,n_correct_ft,n_incorrect_ft,entropy_ft,modal_prediction_ft,modal_frequency_ft,unique_predictions_ft,consistency_category_ft,agreement_diff,entropy_diff,more_consistent
20,zero_shot,move,AKHR knockdown in Nilaparvata lugens interferes with trehalose homeostasis and v...,400,1,0.87,348,52,1.3994163445812424,1,0.495,3,Moderate consistency,fine_tuned,AKHR knockdown in Nilaparvata lugens interferes with trehalose homeostasis and v...,400,0.9175,367,33,1.1329801221571771,1,0.5475,3,High consistency,-0.04749999999999999,0.2664362224240653,Fine-tuned
21,zero_shot,move,AKH/AKHR signaling also regulates vitellogenesis and egg development in Locusta ...,400,1,0.6275,251,149,1.4974729040439287,1,0.5025,3,Uncertain,fine_tuned,AKH/AKHR signaling also regulates vitellogenesis and egg development in Locusta ...,400,0.8325,333,67,1.214641522585003,1,0.6075,3,Moderate consistency,-0.20500000000000007,0.28283138145892583,Fine-tuned
22,zero_shot,move,"As outlined above, the fecundity of D. citri is increased by CLas....",400,1,0.775,310,90,1.3255668219735586,1,0.525,3,Moderate consistency,fine_tuned,"As outlined above, the fecundity of D. citri is increased by CLas....",400,0.77,308,92,1.1914436210393724,3,0.54,3,Moderate consistency,0.0050000000000000044,0.13412320093418617,Zero-shot
23,zero_shot,move,Whether AKH/AKHR signaling participates in this increase in fecundity due to inf...,400,2,0.75,300,100,1.5612781244591325,3,0.375,3,Moderate consistency,fine_tuned,Whether AKH/AKHR signaling participates in this increase in fecundity due to inf...,400,0.8425,337,63,1.4754983542694042,3,0.5025,3,Moderate consistency,-0.09250000000000003,0.08577977018972827,Fine-tuned
24,zero_shot,move,"Although numerous studies have been conducted on the AKH/AKHR signaling pathway,...",350,2,0.8485714285714285,297,53,1.561362517637216,1,0.42,3,Moderate consistency,fine_tuned,"Although numerous studies have been conducted on the AKH/AKHR signaling pathway,...",350,0.6571428571428571,230,120,1.5084642004686561,1,0.44,3,Uncertain,0.1914285714285714,0.05289831716855975,Zero-shot
25,zero_shot,move,"MicroRNAs (miRNAs) are small, non-coding RNAs containing approximately 22 nucleo...",350,1,0.98,343,7,1.4699451115762254,3,0.43142857142857144,3,High consistency,fine_tuned,"MicroRNAs (miRNAs) are small, non-coding RNAs containing approximately 22 nucleo...",350,0.7685714285714286,269,81,1.196724100725811,3,0.5942857142857143,3,Moderate consistency,0.2114285714285714,0.2732210108504145,Zero-shot
26,zero_shot,move,miRNAs play important roles in regulating cellular events at the post-transcript...,300,1,0.8333333333333334,250,50,1.459147917027245,3,0.5,3,Moderate consistency,fine_tuned,miRNAs play important roles in regulating cellular events at the post-transcript...,300,0.8433333333333334,253,47,1.1813421552157775,3,0.5966666666666667,3,Moderate consistency,-0.010000000000000009,0.27780576181146754,Fine-tuned
27,zero_shot,move,"For example, in term of host-virus interactions, miR-8 and miR-429 target Broad ...",250,1,1.0,250,0,1.370950594454669,3,0.6,3,High consistency,fine_tuned,"For example, in term of host-virus interactions, miR-8 and miR-429 target Broad ...",250,0.972,243,7,1.3490838236866216,3,0.612,3,High consistency,0.028000000000000025,0.021866770768047328,Zero-shot
28,zero_shot,move,"In relation to reproduction, in Aedes aegypti, miR-275 is essential for egg deve...",250,1,1.0,250,0,0.9709505944546688,3,0.6,2,High consistency,fine_tuned,"In relation to reproduction, in Aedes aegypti, miR-275 is essential for egg deve...",250,0.976,244,6,1.0224187562114633,3,0.608,3,High consistency,0.02400000000000002,-0.05146816175679447,Zero-shot
29,zero_shot,move,"As for lipid metabolism, knockdown of miR-277 in A. aegypti activates insulin/FO...",250,1,1.0,250,0,1.370950594454669,3,0.6,3,High consistency,fine_tuned,"As for lipid metabolism, knockdown of miR-277 in A. aegypti activates insulin/FO...",250,0.936,234,16,1.3360772443122952,3,0.604,3,High consistency,0.06399999999999995,0.034873350142373694,Zero-shot
30,zero_shot,move,"Nevertheless, the functions of the miRNAs in insect-pathogen interactions need f...",200,2,0.755,151,49,1.499855720876405,3,0.5,3,Moderate consistency,fine_tuned,"Nevertheless, the functions of the miRNAs in insect-pathogen interactions need f...",200,0.725,145,55,1.4891224230222857,3,0.51,3,Moderate consistency,0.030000000000000027,0.01073329785411925,Zero-shot
31,zero_shot,move,"To date, there are no reports that miRNAs participate in D. citri-CLas interacti...",200,2,1.0,200,0,1.0,2,0.5,2,High consistency,fine_tuned,"To date, there are no reports that miRNAs participate in D. citri-CLas interacti...",200,0.84,168,32,1.3882590357355857,3,0.52,3,Moderate consistency,0.16000000000000003,-0.38825903573558573,Zero-shot
32,zero_shot,move,"As a consequence, in this study, we used the D. citri-CLas system as a model to ...",150,3,1.0,150,0,0.0,3,1.0,1,High consistency,fine_tuned,"As a consequence, in this study, we used the D. citri-CLas system as a model to ...",150,0.9933333333333333,149,1,0.05777796017013378,3,0.9933333333333333,2,High consistency,0.00666666666666671,-0.05777796017013378,Zero-shot
33,zero_shot,move,Our study contributes to our understanding of the interactions between vectors a...,100,3,1.0,100,0,0.0,3,1.0,1,High consistency,fine_tuned,Our study contributes to our understanding of the interactions between vectors a...,100,1.0,100,0,0.0,3,1.0,1,High consistency,0.0,0.0,Equal
34,zero_shot,move,Our data provide information on how population-level processes and variation in ...,50,3,1.0,50,0,0.0,3,1.0,1,High consistency,fine_tuned,Our data provide information on how population-level processes and variation in ...,50,1.0,50,0,0.0,3,1.0,1,High consistency,0.0,0.0,Equal
