sentence_num,condition_zs,level,text_preview_zs,n_runs_zs,gold_label,agreement_rate_zs,n_correct_zs,n_incorrect_zs,entropy_zs,modal_prediction_zs,modal_frequency_zs,unique_predictions_zs,consistency_category_zs,condition_ft,text_preview_ft,n_runs_ft,agreement_rate_ft,n_correct_ft,n_incorrect_ft,entropy_ft,modal_prediction_ft,modal_frequency_ft,unique_predictions_ft,consistency_category_ft,agreement_diff,entropy_diff,more_consistent
15,zero_shot,move,"Second, we revisited classical ecological experiments with modern tools, develop...",1000,3,0.8,800,200,1.1567796494470395,1,0.7,3,Moderate consistency,fine_tuned,"Second, we revisited classical ecological experiments with modern tools, develop...",1000,0.751,751,249,1.266601056837534,1,0.659,3,Moderate consistency,0.049000000000000044,-0.10982140739049462,Zero-shot
16,zero_shot,move,This effectively reversed the “escape from herbivory” of E. cheiranthoides and a...,1000,3,0.89,890,110,1.3638592347761223,1,0.49,3,Moderate consistency,fine_tuned,This effectively reversed the “escape from herbivory” of E. cheiranthoides and a...,1000,0.751,751,249,1.4770628340752623,1,0.521,3,Moderate consistency,0.139,-0.11320359929914003,Zero-shot
17,zero_shot,move,AKHRs are a class of G protein-coupled receptors and were first identified in Dr...,900,1,0.46444444444444444,418,482,1.069350233310984,2,0.6466666666666666,3,Uncertain,fine_tuned,AKHRs are a class of G protein-coupled receptors and were first identified in Dr...,900,0.7022222222222222,632,268,1.383460810663245,1,0.5255555555555556,3,Moderate consistency,-0.23777777777777775,-0.314110577352261,Fine-tuned
18,zero_shot,move,Recent studies have shown that AKH/AKHR signaling plays a regulatory role during...,900,1,0.7211111111111111,649,251,1.2185577352211288,1,0.6722222222222223,3,Moderate consistency,fine_tuned,Recent studies have shown that AKH/AKHR signaling plays a regulatory role during...,900,0.56,504,396,1.1687887548365505,1,0.64,3,Uncertain,0.1611111111111111,0.04976898038457822,Zero-shot
19,zero_shot,move,"For example, depletion of AKHR in Bactrocera dorsalis resulted in TAG accumulati...",800,1,0.69125,553,247,1.425145272672075,1,0.44125,3,Uncertain,fine_tuned,"For example, depletion of AKHR in Bactrocera dorsalis resulted in TAG accumulati...",800,0.72625,581,219,1.4781461933009883,1,0.51375,3,Moderate consistency,-0.03499999999999992,-0.05300092062891326,Fine-tuned
20,zero_shot,move,AKHR knockdown in Nilaparvata lugens interferes with trehalose homeostasis and v...,800,1,0.87375,699,101,1.3980098316256337,1,0.49875,3,Moderate consistency,fine_tuned,AKHR knockdown in Nilaparvata lugens interferes with trehalose homeostasis and v...,800,0.91,728,72,1.159285235496581,1,0.5425,3,High consistency,-0.036250000000000004,0.23872459612905272,Fine-tuned
21,zero_shot,move,AKH/AKHR signaling also regulates vitellogenesis and egg development in Locusta ...,800,1,0.62625,501,299,1.498743231710282,1,0.50125,3,Uncertain,fine_tuned,AKH/AKHR signaling also regulates vitellogenesis and egg development in Locusta ...,800,0.8275,662,138,1.234159547445315,1,0.605,3,Moderate consistency,-0.20125000000000004,0.2645836842649669,Fine-tuned
22,zero_shot,move,"As outlined above, the fecundity of D. citri is increased by CLas....",800,1,0.77,616,184,1.3483499701723485,1,0.52,3,Moderate consistency,fine_tuned,"As outlined above, the fecundity of D. citri is increased by CLas....",800,0.7575,606,194,1.1932408962600878,3,0.54625,3,Moderate consistency,0.012500000000000067,0.1551090739122607,Zero-shot
23,zero_shot,move,Whether AKH/AKHR signaling participates in this increase in fecundity due to inf...,800,2,0.75,600,200,1.5612781244591325,3,0.375,3,Moderate consistency,fine_tuned,Whether AKH/AKHR signaling participates in this increase in fecundity due to inf...,800,0.83875,671,129,1.4833279547806069,3,0.4975,3,Moderate consistency,-0.08875,0.07795016967852564,Fine-tuned
24,zero_shot,move,"Although numerous studies have been conducted on the AKH/AKHR signaling pathway,...",700,2,0.8428571428571429,590,110,1.5641590650192407,1,0.4142857142857143,3,Moderate consistency,fine_tuned,"Although numerous studies have been conducted on the AKH/AKHR signaling pathway,...",700,0.6557142857142857,459,241,1.5160743032524815,1,0.4357142857142857,3,Uncertain,0.18714285714285717,0.04808476176675924,Zero-shot
25,zero_shot,move,"MicroRNAs (miRNAs) are small, non-coding RNAs containing approximately 22 nucleo...",700,1,0.9785714285714285,685,15,1.4758926150091773,3,0.43,3,High consistency,fine_tuned,"MicroRNAs (miRNAs) are small, non-coding RNAs containing approximately 22 nucleo...",700,0.77,539,161,1.200112159902215,3,0.6,3,Moderate consistency,0.20857142857142852,0.27578045510696225,Zero-shot
26,zero_shot,move,miRNAs play important roles in regulating cellular events at the post-transcript...,600,1,0.8333333333333334,500,100,1.459147917027245,3,0.5,3,Moderate consistency,fine_tuned,miRNAs play important roles in regulating cellular events at the post-transcript...,600,0.8316666666666667,499,101,1.149054791774429,3,0.6183333333333333,3,Moderate consistency,0.0016666666666667052,0.31009312525281607,Zero-shot
27,zero_shot,move,"For example, in term of host-virus interactions, miR-8 and miR-429 target Broad ...",500,1,1.0,500,0,1.370950594454669,3,0.6,3,High consistency,fine_tuned,"For example, in term of host-virus interactions, miR-8 and miR-429 target Broad ...",500,0.962,481,19,1.34546674495972,3,0.614,3,High consistency,0.038000000000000034,0.025483849494948974,Zero-shot
28,zero_shot,move,"In relation to reproduction, in Aedes aegypti, miR-275 is essential for egg deve...",500,1,1.0,500,0,0.9709505944546688,3,0.6,2,High consistency,fine_tuned,"In relation to reproduction, in Aedes aegypti, miR-275 is essential for egg deve...",500,0.978,489,11,0.9942802372951409,3,0.614,3,High consistency,0.02200000000000002,-0.02332964284047212,Zero-shot
29,zero_shot,move,"As for lipid metabolism, knockdown of miR-277 in A. aegypti activates insulin/FO...",500,1,1.0,500,0,1.370950594454669,3,0.6,3,High consistency,fine_tuned,"As for lipid metabolism, knockdown of miR-277 in A. aegypti activates insulin/FO...",500,0.924,462,38,1.3229349237863381,3,0.61,3,High consistency,0.07599999999999996,0.04801567066833079,Zero-shot
30,zero_shot,move,"Nevertheless, the functions of the miRNAs in insect-pathogen interactions need f...",400,2,0.7525,301,99,1.4999639320228308,3,0.5,3,Moderate consistency,fine_tuned,"Nevertheless, the functions of the miRNAs in insect-pathogen interactions need f...",400,0.7325,293,107,1.4868178843559023,3,0.5125,3,Moderate consistency,0.019999999999999907,0.013146047666928506,Zero-shot
31,zero_shot,move,"To date, there are no reports that miRNAs participate in D. citri-CLas interacti...",400,2,1.0,400,0,1.0,2,0.5,2,High consistency,fine_tuned,"To date, there are no reports that miRNAs participate in D. citri-CLas interacti...",400,0.845,338,62,1.364674245142171,3,0.525,3,Moderate consistency,0.15500000000000003,-0.36467424514217095,Zero-shot
32,zero_shot,move,"As a consequence, in this study, we used the D. citri-CLas system as a model to ...",300,3,0.9933333333333333,298,2,0.05777796017013378,3,0.9933333333333333,2,High consistency,fine_tuned,"As a consequence, in this study, we used the D. citri-CLas system as a model to ...",300,0.9833333333333333,295,5,0.13847410697695253,3,0.9833333333333333,3,High consistency,0.010000000000000009,-0.08069614680681875,Zero-shot
33,zero_shot,move,Our study contributes to our understanding of the interactions between vectors a...,200,3,1.0,200,0,0.0,3,1.0,1,High consistency,fine_tuned,Our study contributes to our understanding of the interactions between vectors a...,200,1.0,200,0,0.0,3,1.0,1,High consistency,0.0,0.0,Equal
34,zero_shot,move,Our data provide information on how population-level processes and variation in ...,100,3,1.0,100,0,0.0,3,1.0,1,High consistency,fine_tuned,Our data provide information on how population-level processes and variation in ...,100,1.0,100,0,0.0,3,1.0,1,High consistency,0.0,0.0,Equal
